utc_time	candidate_sha256	verdict	attempt_directory	best_gain	worst_gain	hypothesis	lowering_evidence	correctness	confirmation	decision	next_question
2026-09-14T12:36:00.912003+00:00	40281e0a673dfae1f11fc1bfa921d74296ef1bf1239c435402505c5f6e7d9df9	screen_only	rpa-session-b/tile1024-screen	0.10897723933771286	-0.1966548666439929	1024 compute tile reduces padded decode work	baseline XProf: 4096/4096; candidate profile pending	candidate not tested	not run	not retained: short-context TTFT regressed in screen	does a 2048 tile avoid the tradeoff?
2026-09-14	15f2e674446086a5b70c1a5384bd5dd892b39d104cb65dddebc51e3058daaf26	screen_only	rpa-session-b/tile2048-screen			2048 compute tile reduces padding	candidate profile not yet collected	30 native cases passed later	not accepted	promoted provisionally; not accepted	try static one-token decode cache update
2026-09-14	15f2e674446086a5b70c1a5384bd5dd892b39d104cb65dddebc51e3058daaf26	invalid	rpa-session-b/tile2048-full			2048 compute tile broad check	candidate profile not yet collected	30 baseline and 30 candidate cases passed	not accepted	stopped after first pair: p99 TTFT latency +14.13 percent at context256-c8; intentional stop made driver report invalid	try static one-token decode cache update
2026-09-14	df4bed7123d638fd652a8644a4cf454e0cba20133a90bdd17cfcde2050dccd0d	screen_rejected	rpa-staged-b/empty-fetch-001	0.09547322868951591	-0.25021944479241565	skip zero-byte old-cache fetch setup on fresh prompts	candidate profile not yet collected	4 native prefill/mixed cases passed	not accepted	rejected at first short stage; remaining workloads not run	try static one-token decode cache update
2026-09-14	01d640569d816c221267d9f212727b2ca93f297ea52cd184b918731acbf027b2	screen_rejected	rpa-staged-b/single-update-001	0.07400871774975237	-0.2689443259843428	static one-token decode cache update on 2048 compute tile	compiled evidence not collected	one native decode reference/cache check passed	not accepted	rejected at first short stage; remaining workloads not run	can smaller fetch tiles reduce page-copy overhead?
2026-09-14	f1d0520574e8154fbb101a628f67b61b79f0da593c98a12de4238d2387a7cd86	screen_rejected	rpa-staged-b/fetch2048-001	0.06808801797118069	-0.25490700756922113	2048 fetch and compute tiles reduce padded decode work	offline diagnostic running	one native decode reference/cache case passed	not accepted	short serving screen stopped; unchanged baseline has similar p99 drift so causal regression remains unconfirmed	can smaller prompt compute tiles help first-token latency?
2026-09-14	f1d0520574e8154fbb101a628f67b61b79f0da593c98a12de4238d2387a7cd86	offline_promising	offline-short-003	0.06181789078679323	0.05658763881094897	2048 fetch/compute tiles reduce padded decode work	compiled route profile pending	one native decode reference/cache case passed	one baseline/candidate offline pair; 20 timed batches each	not accepted: serving and wider context gates remain	test prompt compute256 for first-token latency
2026-09-14	d0f7cc92df9e545f1e5d5a32b7a5c2a07d25b6e23c57943d05660c98fc1e89e2	short_inconclusive	short-pairs-prefill256-001	0.07537770706174207	-0.08380778860022808	reuse prompt tiles while reducing decode padding	candidate profile pending	focused prefill and mixed reference/cache checks passed; full current suite pending	four short serving pairs; final pair worsened mean and p99 TTFT	not accepted; no wider serving run	try larger prompt query blocks
2026-09-14	5352e2cbcee4331f818cccad6c5538b222883878db76b41c1135801419acff55	screen_pass	screen-prefillq256-001	0.06925470525979494	0.004985161106644487	reuse prompt tiles while reducing decode padding	candidate profile pending	30 frozen candidate cases plus 4 query-boundary cases passed; 4 new baseline boundary cases passed; unchanged atol/rtol 0.02 and exact KV checks	one candidate-only short serving run against medians of all four baselines	not accepted; numerical checks and fresh serving confirmation pending	confirm current prompt query tile
2026-09-14	5352e2cbcee4331f818cccad6c5538b222883878db76b41c1135801419acff55	workload_inconclusive	short-pairs-prefillq256-001	0.06716111861689877	-0.22124458829789329	larger prompt query blocks with 2048 decode fetch/compute	profile-prefillq256-001 confirms RPAd bkv2048_2048 and RPAm bq256_256/bkv1024_256; profile timings diagnostic only	30 frozen cases and 4 added query-boundary cases passed	three fresh short c8 pairs; first two improved all metrics; third median TTFT 115.985 to 148.936 ms despite throughput +6.210 percent	not accepted; comparison stopped before fourth pair; short c1 and wider serving withheld	can 1024 decode fetch/compute reduce padded work further?
2026-09-14	1b0b54a4019541dd8fa4ad637320609cae92056f3d4999ad5c96b06054f47fd9	screen_inconclusive	screen-fetch1024q256-001	0.11061266786440194	-0.07037254319356057	1024 decode fetch/compute reduces padded work	1024 candidate profile pending; preceding 2048 profile confirms intended tiling mechanism	one frozen decode normal8192 reference/cache case passed	one cached short screen; throughput +8.838 percent; mean TTFT inverse gain -7.037 percent; remaining metrics positive	not accepted; short c1 stopped; one fresh short pair investigates baseline mean-TTFT variation of 108.109 to 119.930 ms across recent unchanged baselines	does a contemporary pair preserve all short metrics?
2026-09-14	1b0b54a4019541dd8fa4ad637320609cae92056f3d4999ad5c96b06054f47fd9	screen_inconclusive	fresh-short-fetch1024q256-001	0.32125748741413873	-0.0009705817132318328	contemporary control for 1024 decode tile screen	1024 profile pending; previous 2048 profile retained	one frozen native decode normal8192 reference/cache case passed	one fresh short c8 pair; throughput +8.8345 percent; mean TTFT inverse gain -0.09706 percent; remaining metrics improved	not accepted; next short c1 stage stopped; completed evidence backed up before cloud deleted Spot B	measure prompt tile alternatives on an on-demand replacement; new serving baseline required
